"id","elementos","ele_corr","remesa","extremos","intersecc","g1","g2","g3","g5","g51","t1","t2","gl1","gl2","gl3","gl4","l1","l2","l3","l4","error"
189628,759,754,5,148,169,2,6,754,5,2,0,90,148,148,4,0,3,0,52,2,"SI"
193728,765,751,5,238,235,13,4,751,13,1,0,38,238,238,7,0,14,1,0,0,"NO"
192944,72,70,5,19,18,0,0,70,1,0,0,6,19,18,19,0,2,0,0,0,"NO"
194468,106,105,5,31,28,0,3,105,2,0,0,16,31,31,9,0,1,1,0,0,"NO"
190345,166,165,5,66,65,0,3,165,4,0,0,8,46,46,1,0,1,0,0,0,"NO"
193373,804,789,5,221,255,2,8,789,31,0,1,62,202,202,5,0,4,1,57,10,"NO"
190723,318,294,8,33,73,1,5,294,13,0,1,70,33,32,33,0,2,5,60,22,"SI"
192726,634,621,8,157,154,1,0,621,38,0,1,39,103,100,27,0,0,4,71,13,"NO"
189880,703,695,1,194,198,1,0,1,75,0,0,58,188,188,4,0,7,0,0,1,"NO"
192904,331,331,1,125,124,0,1,0,13,0,0,15,125,125,5,0,0,0,0,0,"NO"
189728,360,358,2,97,104,0,2,6,25,0,2,34,78,77,5,0,2,4,0,0,"NO"
190960,825,820,2,232,233,1,7,9,45,0,0,135,232,232,8,0,5,0,8,0,"NO"
192231,332,331,2,95,94,0,1,1,16,0,0,29,95,95,3,0,1,0,0,0,"NO"
193459,910,910,2,259,259,6,2,81,39,0,1,65,247,247,6,0,0,0,2,0,"NO"
188570,202,200,1,52,51,0,0,0,32,0,0,14,41,41,2,0,2,0,0,0,"NO"
192582,367,359,1,83,82,0,2,0,61,0,0,28,75,75,2,0,2,0,30,6,"NO"
188667,714,699,1,104,103,0,6,0,143,0,0,43,103,103,1,0,5,1,220,10,"NO"
190661,540,529,1,74,93,2,2,0,101,0,0,96,74,74,74,0,3,6,28,8,"SI"
189817,1202,1185,1,226,227,0,9,0,201,0,0,112,226,226,5,0,2,1,108,15,"NO"
190150,143,139,1,37,36,0,1,1,11,5,0,34,37,37,1,0,4,0,16,0,"NO"
188474,1237,1223,6,252,251,4,15,2,140,0,0,154,211,209,12,0,13,7,31,1,"SI"
189850,885,867,1,159,170,0,6,0,150,0,0,65,159,159,5,0,4,2,138,14,"NO"
193553,96,96,1,24,25,0,1,1,6,0,0,21,23,23,0,0,0,3,0,0,"NO"
189813,597,597,1,127,126,1,2,0,72,0,0,39,127,123,127,0,3,0,7,0,"NO"
189999,313,311,1,95,100,0,2,0,8,1,0,21,72,72,5,0,2,6,0,0,"NO"
189169,375,373,1,104,106,0,1,0,24,0,0,6,93,92,4,0,2,1,0,0,"NO"
190782,162,161,5,27,26,0,0,161,5,0,0,10,27,9,27,0,1,0,0,0,"NO"
193969,188,186,5,35,47,1,4,186,8,1,1,30,35,35,1,0,2,0,0,0,"SI"
